54b535f8-85dc-4d95-8d95-63a53821b4fa<%|%>Prospecção ativa
4d8f5686-303a-450a-9792-bcad252fa2c6<%|%>Prospecção ativa
ad31c375-f2fb-4995-9ee9-7b30f8007697<%|%>Prospecção ativa
15b61bd4-d5d8-45d7-bcc9-9d801e841581<%|%>Indicacao / WhatsApp
83f7b8a8-3cf5-440d-bfcb-5c2f5dfcd33e<%|%>Leads de Parceiros
80b22b0e-c08c-4fb6-9dfe-cfd62d314681<%|%>Leads de Parceiros
30b744b8-3a0c-4f6d-a423-3484f1a2b4ab<%|%>Prospecção ativa
71e22c21-f5eb-4192-b8fd-31f56f4f3744<%|%>Indicação de Parceiro (Luan)
d70f0c7f-1e37-4b21-9842-6862dbad731f<%|%>Prospecção ativa
9e81a9c8-2640-47fa-a360-f2da24cc6043<%|%>Prospecção ativa
bd3f764a-897a-4f44-b62a-a093ebc159ea<%|%>Prospecção ativa
6ddb4b33-2f2b-49de-a2fb-fd396312126d<%|%>Prospecção ativa
9985e186-b157-495f-85aa-5c3293be12ba<%|%>Prospecção ativa
0fe27b4b-23d8-4e2f-a858-e8e2b035feb0<%|%>Prospecção ativa
c84218df-e331-44c9-8647-e37236070a83<%|%>Prospecção ativa
9228ded6-3504-4e53-8855-28d146404a21<%|%>Prospecção ativa
b82d3e88-8d7b-446c-bab9-f960ce2c0aa8<%|%>Prospecção ativa
fb25ae8b-e89e-422d-a48d-c52ebbb0dc8d<%|%>Indicação de Parceiro (Luan)
1784cc71-9b4e-4184-82b4-354aa481df97<%|%>Prospecção ativa
a1492b7a-a3d3-4c41-a4c7-5459a91cd9ab<%|%>Prospecção ativa
d889e4ce-c805-406a-9392-5cd8b2096869<%|%>Venda Ernandes
4a4b40da-c52a-482c-955f-73157696acd7<%|%>Indicação de Parceiro (Luan)
5d3236a0-431b-4418-b025-02b114cb5999<%|%>Prospeccao ativa
78f40ac4-8fff-4068-95fe-cbfb04eda2bf<%|%>Prospecção ativa
354a2bbf-b32b-4146-a44e-e3bd00fc7299<%|%>Prospecção ativa
a10a6e88-404a-4cdb-b7a4-d46e1abd370a<%|%>Prospecção ativa
567e75c9-b981-4ad4-93b5-54eb3529b447<%|%>Indicação de parceiro (Edson)
bb0f30aa-14f9-4265-9668-6ec9787a27db<%|%>Prospeccao ativa
